"local_id","p_agegp","agegp1","agegp2","agegp3","agegp4","agegp5"
13800185,"agegp5",NA,1,NA,2,5
13800186,"agegp3",NA,NA,3,3,1
13800187,"agegp5",NA,1,1,2,NA
13800188,"agegp4",NA,NA,1,8,1
13800189,"agegp4",NA,NA,NA,10,2
13800190,"agegp3",NA,NA,11,2,2
13800191,"agegp2",NA,1,3,5,1
13800192,"agegp4",NA,NA,1,7,3
13800193,"agegp3",NA,NA,13,1,2
13800194,"agegp4",NA,NA,NA,7,1
13800195,"agegp4",NA,1,1,18,2
13800196,"agegp4",NA,NA,NA,9,1
13800197,"agegp3",NA,NA,3,3,1
13800198,"agegp5",NA,1,2,6,1
13800199,"agegp3",NA,NA,6,3,1
13800200,"agegp4",NA,NA,NA,4,2
13800201,"agegp4",NA,1,1,25,1
13800202,"agegp3",NA,NA,9,2,NA
13800203,"agegp5",NA,NA,4,6,2
13800204,"agegp2",NA,1,NA,5,1
13800205,"agegp4",NA,1,NA,1,2
13800206,"agegp3",NA,NA,3,3,NA
13800207,"agegp4",NA,NA,NA,8,2
13800208,"agegp4",NA,NA,4,8,1
13800209,"agegp3",NA,NA,5,4,NA
13800210,"agegp3",NA,1,4,2,1
13800211,"agegp5",NA,1,NA,4,4
13800212,"agegp4",NA,NA,NA,1,NA
13800213,"agegp5",NA,NA,NA,7,4
13800214,"agegp3",NA,NA,3,2,NA
13800215,"agegp5",NA,NA,NA,NA,3
13800216,"agegp5",NA,NA,NA,NA,4
13800217,"agegp5",NA,1,NA,6,3
13800218,"agegp3",NA,NA,1,2,1
13800219,"agegp4",NA,NA,1,10,2
13800220,"agegp4",NA,NA,NA,6,2
13800221,"agegp4",NA,2,2,12,3
13800222,"agegp2",NA,1,2,4,NA
13800223,"agegp2",NA,NA,1,5,2
13800224,"agegp3",NA,NA,14,4,3
13800225,"agegp2",NA,2,1,4,2
13800226,"agegp4",NA,1,1,6,NA
13800227,"agegp3",NA,NA,6,3,NA
13800228,"agegp3",NA,NA,5,2,1
13800229,"agegp3",NA,NA,1,4,2
13800230,"agegp4",NA,NA,NA,14,1
13800231,"agegp4",NA,NA,NA,4,2
13800232,"agegp5",NA,NA,1,1,NA
13800233,"agegp4",NA,NA,2,4,1
13800234,"agegp4",NA,NA,NA,4,1
13800235,"agegp4",NA,2,1,3,1
13800236,"agegp3",NA,NA,3,7,NA
13800237,"agegp4",NA,1,NA,2,NA
13800238,"agegp4",NA,3,NA,5,2
13800239,"agegp2",NA,NA,NA,4,2
13800240,"agegp5",NA,NA,NA,5,6
13800241,"agegp2",NA,NA,1,6,NA
13800242,"agegp4",NA,NA,2,1,1
13800243,"agegp3",NA,NA,15,5,1
13800244,"agegp5",NA,NA,NA,4,NA
13800245,"agegp4",NA,NA,2,2,1
13800246,"agegp4",NA,NA,1,7,NA
13800247,"agegp4",NA,3,1,1,NA
13800248,"agegp3",NA,NA,13,1,1
13800249,"agegp4",NA,3,3,9,2
13800250,"agegp3",NA,NA,4,2,1
13800251,"agegp3",NA,NA,14,3,NA
13800252,"agegp3",NA,NA,15,2,1
13800253,"agegp5",NA,NA,1,3,1
13800254,"agegp3",NA,NA,3,2,NA
13800255,"agegp4",NA,NA,NA,4,2
13800256,"agegp5",NA,NA,1,2,NA
13800257,"agegp4",NA,NA,1,2,2
13800258,"agegp4",NA,NA,2,5,1
13800259,"agegp3",NA,1,4,5,1
13800260,"agegp4",NA,1,NA,4,1
13800261,"agegp3",NA,NA,7,1,2
13800262,"agegp2",NA,NA,NA,2,3
13800263,"agegp4",NA,1,NA,4,NA
13800264,"agegp5",NA,NA,NA,2,6
13800265,"agegp3",NA,NA,NA,3,NA
13800266,"agegp5",NA,NA,1,7,NA
13800267,"agegp5",NA,1,1,4,3
13800268,"agegp4",NA,NA,NA,8,NA
13800269,"agegp4",NA,NA,1,1,1
13800270,"agegp2",NA,NA,NA,3,1
13800271,"agegp5",NA,NA,NA,1,2
13800272,"agegp2",NA,NA,NA,4,NA
13800273,"agegp5",NA,NA,1,2,4
13800274,"agegp4",NA,1,NA,3,2
13800275,"agegp5",NA,NA,NA,NA,3
13800276,"agegp4",NA,NA,NA,5,NA
13800277,"agegp5",NA,NA,NA,2,4
13800278,"agegp4",NA,NA,NA,3,1
13800279,"agegp4",NA,NA,NA,4,2
13800280,"agegp2",NA,NA,NA,3,3
13800281,"agegp5",NA,NA,NA,1,2
13800282,"agegp4",NA,NA,2,4,NA
