"local_id","p_agegp","agegp1","agegp2","agegp3","agegp4","agegp5","agegp6"
1211,"agegp4",NA,NA,NA,12,2,NA
1212,"agegp3",NA,1,4,1,4,NA
1213,"agegp3",NA,NA,1,NA,1,1
1214,"agegp3",NA,NA,1,NA,1,2
1215,"agegp3",NA,NA,5,2,3,2
1216,"agegp3",NA,1,1,NA,1,NA
1217,"agegp3",NA,NA,2,NA,2,1
1218,"agegp3",NA,NA,5,NA,2,1
1219,"agegp3",NA,NA,3,NA,NA,NA
1220,"agegp3",NA,1,4,1,3,1
1221,"agegp4",NA,2,1,6,4,1
1222,"agegp3",NA,NA,6,NA,3,NA
1223,"agegp4",NA,2,3,14,2,1
1224,"agegp4",NA,1,NA,4,3,NA
1225,"agegp3",NA,2,6,NA,1,1
1226,"agegp3",NA,NA,9,NA,2,NA
2001,"agegp6",NA,NA,NA,NA,NA,1
2002,"agegp5",NA,1,2,NA,1,NA
2003,"agegp6",NA,NA,NA,NA,2,1
2004,"agegp5",NA,NA,1,NA,3,NA
2005,"agegp5",NA,NA,NA,NA,2,2
2006,"agegp6",NA,NA,NA,NA,NA,2
2007,"agegp5",NA,1,1,1,NA,2
2008,"agegp5",NA,NA,NA,NA,1,1
2010,"agegp6",NA,NA,NA,NA,NA,4
2011,"agegp5",NA,1,NA,NA,1,1
2012,"agegp5",NA,1,2,NA,4,NA
2013,"agegp6",NA,NA,NA,NA,NA,2
2014,"agegp5",NA,NA,NA,NA,1,NA
2016,"agegp5",2,1,NA,NA,2,NA
2017,"agegp6",NA,NA,1,NA,NA,1
2018,"agegp5",NA,NA,1,NA,2,NA
2019,"agegp6",NA,NA,1,1,1,NA
2020,"agegp5",NA,3,1,NA,5,1
2021,"agegp5",NA,4,NA,NA,5,1
2022,"agegp5",NA,NA,NA,NA,5,NA
2023,"agegp5",NA,NA,NA,1,NA,NA
2024,"agegp4",NA,NA,1,6,3,1
2025,"agegp6",NA,1,NA,1,3,2
2026,"agegp6",NA,2,NA,NA,4,NA
2027,"agegp6",NA,2,NA,1,4,1
2028,"agegp6",NA,NA,NA,NA,1,3
2029,"agegp5",NA,NA,2,NA,1,2
