"local_id","p_agegp","agegp1","agegp2","agegp3","agegp4","agegp5","agegp6"
835,"agegp6",NA,NA,2,NA,5,NA
836,"agegp3",NA,3,8,NA,2,1
839,"agegp4",NA,NA,5,NA,1,1
841,"agegp6",NA,NA,NA,5,2,1
842,"agegp5",2,6,19,4,23,5
843,"agegp6",1,2,1,NA,3,NA
845,"agegp3",NA,1,13,6,2,NA
846,"agegp3",2,2,2,1,4,2
847,"agegp4",NA,6,3,2,7,NA
851,"agegp3",NA,16,18,NA,NA,NA
852,"agegp2",3,10,11,4,2,1
854,"agegp4",NA,4,4,6,2,NA
855,"agegp5",NA,4,1,NA,4,NA
857,"agegp1",3,1,8,2,3,NA
858,"agegp1",NA,3,NA,5,1,1
859,"agegp5",NA,1,1,NA,6,NA
863,"agegp1",NA,2,1,NA,4,2
864,"agegp6",NA,5,5,1,12,6
865,"agegp3",NA,NA,4,1,2,1
866,"agegp4",3,8,7,9,15,6
869,"agegp4",NA,1,12,6,1,1
871,"agegp5",NA,5,8,NA,4,4
872,"agegp4",NA,NA,2,10,7,NA
873,"agegp4",1,2,4,12,6,NA
874,"agegp3",NA,NA,10,5,NA,1
875,"agegp5",1,3,3,NA,6,NA
876,"agegp1",NA,1,3,NA,5,2
877,"agegp3",NA,2,9,1,6,3
878,"agegp5",NA,1,1,5,4,NA
879,"agegp3",NA,1,2,NA,2,NA
880,"agegp5",NA,3,4,3,8,6
881,"agegp1",NA,2,3,2,3,2
885,"agegp5",NA,5,11,5,5,1
887,"agegp2",NA,1,2,1,3,1
888,"agegp3",1,5,4,NA,1,NA
889,"agegp4",NA,NA,NA,1,11,NA
891,"agegp3",NA,7,7,4,13,2
892,"agegp6",NA,2,1,1,2,NA
896,"agegp6",1,NA,NA,1,23,6
901,"agegp5",NA,2,NA,NA,4,NA
903,"agegp5",1,1,1,NA,8,NA
904,"agegp4",1,2,10,6,6,NA
906,"agegp2",NA,NA,2,1,2,1
908,"agegp1",NA,3,3,4,2,NA
909,"agegp5",NA,NA,3,NA,8,5
910,"agegp2",NA,6,4,NA,1,1
912,"agegp6",NA,NA,4,NA,5,NA
913,"agegp2",NA,6,1,NA,4,NA
914,"agegp5",NA,NA,3,1,6,3
915,"agegp6",NA,NA,1,NA,1,NA
918,"agegp4",NA,2,2,4,4,NA
919,"agegp2",NA,4,6,2,NA,1
921,"agegp6",1,NA,NA,NA,4,1
922,"agegp5",NA,NA,NA,2,4,NA
923,"agegp1",NA,5,5,5,9,1
924,"agegp5",2,2,2,NA,3,1
929,"agegp2",2,4,2,NA,4,1
931,"agegp5",1,NA,NA,NA,2,NA
936,"agegp4",1,3,16,1,2,1
938,"agegp2",NA,10,2,NA,5,4
940,"agegp2",2,12,24,12,14,4
941,"agegp5",NA,5,7,4,24,10
942,"agegp4",3,5,6,5,10,1
944,"agegp4",NA,NA,2,5,8,1
949,"agegp2",2,8,5,1,3,1
951,"agegp4",NA,2,2,NA,5,1
952,"agegp4",NA,1,3,11,10,NA
953,"agegp2",NA,1,14,3,4,NA
955,"agegp3",NA,3,7,1,8,NA
957,"agegp2",NA,2,4,NA,4,1
958,"agegp2",NA,2,3,1,2,1
960,"agegp3",2,1,7,1,8,NA
962,"agegp3",NA,1,17,1,4,NA
964,"agegp3",NA,6,16,1,2,1
965,"agegp2",NA,NA,4,NA,3,4
966,"agegp4",2,2,6,9,2,NA
974,"agegp5",NA,4,3,1,4,1
977,"agegp4",1,NA,1,1,11,2
978,"agegp4",NA,3,3,5,4,NA
979,"agegp3",1,5,4,1,2,NA
982,"agegp2",1,4,5,1,3,3
984,"agegp5",NA,1,2,NA,3,NA
985,"agegp1",NA,3,5,2,7,NA
987,"agegp5",1,1,3,6,15,5
988,"agegp4",NA,2,6,8,7,3
990,"agegp6",1,2,NA,NA,5,8
991,"agegp3",1,3,7,5,10,NA
992,"agegp4",NA,2,4,15,6,2
993,"agegp1",1,4,2,2,3,1
994,"agegp4",NA,1,2,NA,NA,NA
995,"agegp2",NA,3,5,1,6,1
996,"agegp4",1,12,11,7,16,5
997,"agegp4",1,1,3,5,2,NA
998,"agegp2",NA,8,6,NA,7,2
1000,"agegp2",1,9,NA,1,4,3
1003,"agegp5",NA,5,3,3,5,NA
1006,"agegp6",1,NA,NA,NA,1,5
1007,"agegp4",NA,3,2,13,NA,NA
1008,"agegp4",1,5,10,2,3,2
1009,"agegp6",1,2,NA,NA,1,3
1010,"agegp2",1,3,7,NA,3,NA
1011,"agegp5",NA,3,NA,2,10,4
1012,"agegp3",1,NA,6,4,NA,NA
1017,"agegp1",NA,5,5,NA,5,2
1018,"agegp2",3,5,4,NA,2,1
1019,"agegp1",NA,4,4,2,7,NA
1020,"agegp5",1,NA,1,4,10,NA
1021,"agegp5",2,3,NA,NA,6,4
1022,"agegp2",3,8,7,5,4,1
1024,"agegp4",3,5,12,5,3,NA
1029,"agegp3",NA,4,20,2,2,NA
1031,"agegp1",NA,8,18,5,27,10
1032,"agegp4",NA,3,25,23,7,NA
1033,"agegp6",NA,3,5,2,1,NA
1034,"agegp3",NA,8,10,3,2,NA
1035,"agegp5",NA,4,6,8,2,NA
1037,"agegp6",NA,2,NA,2,2,6
1039,"agegp6",NA,2,1,NA,NA,NA
1040,"agegp1",2,6,4,2,4,2
1044,"agegp6",1,2,6,7,23,2
1045,"agegp2",NA,1,2,3,2,NA
1046,"agegp3",NA,2,11,1,2,1
1048,"agegp1",NA,NA,4,1,2,NA
1049,"agegp2",1,8,5,1,2,NA
1051,"agegp4",1,1,10,5,14,4
1052,"agegp3",NA,4,8,4,6,1
1054,"agegp3",1,8,10,NA,1,NA
1055,"agegp4",1,1,NA,NA,5,2
1056,"agegp5",2,2,2,3,8,NA
1057,"agegp3",NA,5,13,4,2,3
1059,"agegp2",1,4,7,3,2,1
1060,"agegp3",1,8,11,2,3,1
1062,"agegp1",NA,11,7,1,5,NA
1063,"agegp3",1,3,27,7,NA,NA
1064,"agegp2",1,2,5,3,2,1
1066,"agegp4",NA,4,9,9,3,NA
1067,"agegp2",1,2,7,NA,2,1
1068,"agegp1",NA,2,2,NA,2,1
1070,"agegp4",NA,1,NA,NA,NA,NA
1071,"agegp5",NA,5,1,NA,14,4
1074,"agegp1",NA,1,3,2,3,1
1076,"agegp3",1,3,12,3,8,2
1078,"agegp6",NA,NA,NA,NA,5,NA
1079,"agegp5",2,7,6,1,14,2
1080,"agegp5",NA,NA,2,NA,4,NA
1083,"agegp5",NA,NA,1,1,9,2
1085,"agegp4",NA,NA,NA,1,4,NA
1087,"agegp4",NA,2,11,5,7,NA
1088,"agegp2",1,2,10,2,3,1
1089,"agegp5",1,1,3,5,6,1
1090,"agegp6",2,2,3,NA,15,NA
1091,"agegp5",NA,2,2,NA,3,1
1092,"agegp4",1,NA,NA,3,2,1
1093,"agegp5",7,8,4,4,5,6
1095,"agegp3",NA,2,7,NA,2,1
1097,"agegp4",NA,1,1,1,9,2
1098,"agegp5",NA,2,1,7,6,1
1099,"agegp3",2,2,6,NA,4,NA
1102,"agegp1",NA,NA,4,NA,1,1
1103,"agegp5",NA,2,8,1,10,1
1104,"agegp2",NA,NA,2,1,2,1
1105,"agegp1",NA,2,6,NA,3,NA
1106,"agegp5",NA,15,12,1,8,2
1108,"agegp5",NA,NA,NA,NA,5,11
1110,"agegp2",NA,1,2,NA,2,NA
1112,"agegp3",NA,NA,5,NA,4,NA
1116,"agegp6",NA,NA,3,NA,11,10
1118,"agegp6",NA,NA,NA,NA,4,3
1119,"agegp5",NA,2,NA,NA,5,NA
1120,"agegp4",NA,NA,6,19,7,NA
1121,"agegp2",NA,1,2,NA,1,2
1123,"agegp1",NA,4,1,1,5,NA
1128,"agegp1",NA,2,NA,NA,4,4
1129,"agegp5",NA,1,10,6,29,NA
1130,"agegp3",NA,7,14,4,7,NA
1134,"agegp4",1,1,4,9,3,2
1135,"agegp2",1,3,2,1,4,2
1137,"agegp1",NA,3,3,NA,6,NA
