"local_id","p_agegp","agegp1","agegp2","agegp3","agegp4"
575,"agegp4",NA,NA,2,1
576,"agegp4",NA,NA,2,1
577,"agegp4",NA,NA,NA,6
578,"agegp4",NA,1,NA,1
582,"agegp4",NA,1,NA,2
584,"agegp4",NA,NA,2,1
585,"agegp4",NA,NA,NA,3
586,"agegp4",NA,NA,NA,1
587,"agegp4",NA,NA,NA,1
588,"agegp4",NA,NA,NA,4
589,"agegp4",NA,NA,NA,2
590,"agegp4",NA,NA,NA,11
591,"agegp4",NA,NA,NA,1
593,"agegp4",NA,NA,1,1
596,"agegp4",NA,2,NA,6
599,"agegp4",NA,NA,NA,12
601,"agegp4",NA,NA,NA,2
602,"agegp4",NA,NA,NA,4
607,"agegp4",NA,1,2,2
608,"agegp4",NA,NA,2,4
609,"agegp4",NA,2,NA,1
610,"agegp4",NA,1,NA,1
611,"agegp4",NA,NA,1,3
612,"agegp4",NA,NA,1,6
615,"agegp4",NA,NA,1,1
618,"agegp4",NA,2,1,1
621,"agegp4",NA,NA,NA,2
622,"agegp4",NA,NA,1,NA
623,"agegp4",NA,4,NA,2
624,"agegp4",NA,NA,6,9
628,"agegp4",NA,1,2,5
629,"agegp4",NA,NA,NA,2
630,"agegp4",NA,1,NA,2
631,"agegp4",NA,1,NA,4
632,"agegp4",NA,NA,2,1
633,"agegp4",NA,2,NA,1
634,"agegp4",NA,1,3,3
635,"agegp4",NA,NA,NA,1
636,"agegp4",NA,NA,NA,1
637,"agegp4",NA,NA,NA,4
639,"agegp4",NA,3,NA,NA
640,"agegp4",NA,NA,3,1
644,"agegp4",NA,1,3,4
645,"agegp4",NA,NA,1,1
647,"agegp4",NA,NA,NA,1
648,"agegp4",NA,NA,1,1
649,"agegp4",NA,1,2,1
650,"agegp4",NA,NA,NA,1
651,"agegp4",NA,NA,1,NA
652,"agegp4",NA,NA,NA,1
653,"agegp4",NA,NA,NA,2
654,"agegp4",NA,1,1,NA
656,"agegp4",NA,NA,3,1
657,"agegp4",NA,NA,NA,1
658,"agegp4",NA,NA,NA,1
659,"agegp4",NA,NA,NA,3
661,"agegp4",NA,NA,NA,1
662,"agegp4",NA,NA,NA,4
663,"agegp4",NA,NA,NA,18
668,"agegp4",1,2,1,4
669,"agegp4",NA,2,NA,1
671,"agegp4",NA,2,NA,3
672,"agegp4",NA,1,NA,5
674,"agegp4",NA,NA,1,1
675,"agegp4",NA,NA,4,4
677,"agegp4",NA,NA,1,1
678,"agegp4",NA,NA,NA,2
681,"agegp4",NA,NA,NA,4
684,"agegp4",NA,NA,NA,1
686,"agegp4",NA,NA,NA,3
687,"agegp4",NA,NA,2,1
688,"agegp4",NA,NA,1,4
690,"agegp4",NA,NA,9,10
691,"agegp4",NA,NA,NA,2
693,"agegp4",NA,NA,NA,4
694,"agegp4",NA,NA,NA,10
695,"agegp4",NA,1,1,2
696,"agegp4",1,NA,NA,4
698,"agegp4",NA,NA,3,1
699,"agegp4",NA,1,1,1
700,"agegp4",NA,NA,NA,1
702,"agegp4",NA,NA,NA,1
703,"agegp4",NA,NA,NA,1
705,"agegp4",NA,NA,NA,2
706,"agegp4",NA,NA,1,3
707,"agegp4",NA,NA,2,2
708,"agegp4",NA,2,1,8
709,"agegp4",NA,1,1,NA
710,"agegp4",NA,NA,1,1
711,"agegp4",NA,NA,2,1
716,"agegp4",NA,NA,NA,3
717,"agegp4",NA,1,NA,10
719,"agegp4",NA,NA,NA,1
720,"agegp4",NA,NA,NA,1
721,"agegp4",NA,NA,NA,2
722,"agegp4",NA,NA,NA,6
723,"agegp4",NA,NA,NA,1
724,"agegp4",NA,1,NA,4
725,"agegp4",NA,2,NA,1
726,"agegp4",NA,NA,2,NA
728,"agegp4",NA,NA,NA,3
730,"agegp4",NA,1,NA,NA
731,"agegp4",NA,NA,NA,2
733,"agegp4",NA,NA,1,3
739,"agegp4",NA,1,2,1
740,"agegp4",NA,NA,1,1
742,"agegp4",NA,NA,NA,3
744,"agegp4",NA,NA,NA,1
748,"agegp4",NA,NA,NA,1
750,"agegp4",NA,NA,NA,3
751,"agegp4",NA,NA,NA,4
756,"agegp4",NA,NA,NA,2
757,"agegp4",1,1,NA,NA
758,"agegp4",NA,NA,NA,2
761,"agegp4",NA,NA,NA,1
764,"agegp4",NA,3,NA,5
765,"agegp4",NA,1,NA,6
766,"agegp4",1,NA,2,2
767,"agegp4",NA,NA,2,1
769,"agegp4",NA,NA,1,1
